Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage
Linear Regression,1.4867334416719489e-15,8.077249703458621e-30,2.8420502640626574e-15,1.0,100.0
Random Forest,0.6659141304347849,1.278744877228255,1.1308160227146833,0.9747343528541136,97.47343528541136
Gradient Boosting,0.6099896660808735,1.2747443367130442,1.1290457637815414,0.9748133961776491,97.4813396177649
Deep Learning,0.818843003148618,3.2317385244154764,1.7977036809261633,0.9361467899659283,93.61467899659283
