Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage
PSO Random Forest,0.6665855072463867,1.2743639573913008,1.1288772995287402,0.9748209117735243,97.48209117735243
PSO Deep Learning,0.7359489743605904,2.751228151050324,1.6586826553172622,0.9456407912789165,94.56407912789166
